,Restaurant Name,City,Address,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
1288,Pizza Hut Delivery,Gurgaon,"Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","Italian, Pizza, Fast Food",800,Indian Rupees(Rs.),No,Yes,No,No,2,2.8,Orange,Average,29,India
1289,Sibang Bakery,Gurgaon,"First Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","Bakery, Desserts, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,13,India
1290,Sonya Bakery Cafe,Gurgaon,"Lower Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","Bakery, Desserts, Beverages",350,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,20,India
1291,Subway,Gurgaon,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,46,India
1292,Viva Hyderabad,Gurgaon,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","Biryani, North Indian",600,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,69,India
1293,7 Barrel Brew Pub,Gurgaon,"242A & 242B, 1st & 2nd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","North Indian, Continental, Chinese, Japanese, Italian, Thai",2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.9,Yellow,Good,490,India
1294,Wai Yu Mun Ching,Gurgaon,"5, Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","Chinese, Thai",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,112,India
1295,Baskin Robbins,Gurgaon,"Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1",Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3,India
1296,KFC,Gurgaon,"MS-44, Upper Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","American, Fast Food, Burger",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.2,Red,Poor,73,India
1297,Burmese Kitchen Plus,Gurgaon,"DLF Phase 1, Gurgaon",DLF Phase 1,"Burmese, Chinese, Thai",800,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,65,India
1298,Drinks Come True,Gurgaon,"B-5/8, Near Qutab Plaza, DLF Phase 1, Gurgaon",DLF Phase 1,"Beverages, Juices",150,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,9,India
1299,Eat All Nite,Gurgaon,"H Block, DLF Phase 1, Gurgaon",DLF Phase 1,"North Indian, Chinese, Fast Food",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,184,India
1300,Frontier,Gurgaon,"D-89, Shopping Mall, Arjun Marg, DLF Phase 1, Gurgaon",DLF Phase 1,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4,India
1301,GenY Cuisines,Gurgaon,"A-55/2, Near DLF Mega Mall, DLF Phase 1, Gurgaon",DLF Phase 1,"Chinese, Mexican, Fast Food, Continental",250,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average,4,India
1302,K Raga's,Gurgaon,"A-55/12, Behind DT Mega Mall, DLF Phase 1, Gurgaon",DLF Phase 1,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,5,India
1303,Kangri,Gurgaon,"A Block, DLF Phase 1, Gurgaon",DLF Phase 1,Kashmiri,750,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,84,India
1304,Makhmali Kebabs,Gurgaon,"Arjun Marg Market, DLF Phase 1, Gurgaon",DLF Phase 1,Mughlai,550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,10,India
1305,Masala Ville,Gurgaon,"DLF Phase 1, Gurgaon",DLF Phase 1,"North Indian, Mughlai",650,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,15,India
1306,Night Food Xprs,Gurgaon,"DLF Phase 1, Gurgaon",DLF Phase 1,"Chinese, North Indian",650,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,12,India
1307,Roti Boti,Gurgaon,"Pillar No. 12, Opposite Sikanderpur Rapid Metro Station,DLF Phase 1 Road",DLF Phase 1,"North Indian, Mughlai, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,35,India
1308,Sama Chicken Biryani,Gurgaon,"2020, Main Road, Near Union Bank, Saraswati Vihar, DLF Phase 1, Gurgaon",DLF Phase 1,"Biryani, North Indian",200,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4,India
1309,Subway,Gurgaon,"D-144, Shopping Mall, Arjun Marg, DLF Phase 1, Gurgaon",DLF Phase 1,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.8,Orange,Average,54,India
1310,The Rolling Pin Bakery,Gurgaon,"C-9/9-D, DLF Phase 1, Gurgaon",DLF Phase 1,Bakery,500,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,10,India
1311,Weird Time Food,Gurgaon,"DLF Phase 1, Gurgaon",DLF Phase 1,"Continental, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average,7,India
1312,Twigly,Gurgaon,"H Block, DLF Phase 1, Gurgaon",DLF Phase 1,"Continental, Italian, Pizza, Asian",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.6,Dark Green,Excellent,395,India
1313,Asian Haus,Gurgaon,"16/6, H Block, DLF Phase 1, Gurgaon",DLF Phase 1,"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",1500,Indian Rupees(Rs.),No,Yes,No,No,3,3.9,Yellow,Good,360,India
1314,Beyond Breads,Gurgaon,"Behind DT Mega Mall, DLF Phase 1, Gurgaon",DLF Phase 1,"Bakery, Desserts",200,Indian Rupees(Rs.),No,Yes,No,No,1,3.8,Yellow,Good,326,India
1315,Biryani By Kilo,Gurgaon,"H-16/6, Ground Floor, DLF Phase 1, Gurgaon",DLF Phase 1,"Biryani, Mughlai",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,403,India
1316,Captain Grub,Gurgaon,"DLF Phase 1, Gurgaon",DLF Phase 1,"American, Fast Food",1000,Indian Rupees(Rs.),No,Yes,No,No,3,3.8,Yellow,Good,447,India
1317,Pita Pit,Gurgaon,"DLF Phase 1, Gurgaon",DLF Phase 1,"Healthy Food, Salad",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,56,India
1318,Rawleaf,Gurgaon,"DLF Phase 1, Gurgaon",DLF Phase 1,"Healthy Food, Salad",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,38,India
1319,Sushi Haus,Gurgaon,"16/6, H Block, DLF Phase 1, Gurgaon",DLF Phase 1,"Japanese, Sushi",1300,Indian Rupees(Rs.),No,Yes,No,No,3,3.8,Yellow,Good,124,India
1320,Eggzellent,Gurgaon,"Plot H-16/6, DLF Phase 1, Gurgaon",DLF Phase 1,Fast Food,250,Indian Rupees(Rs.),No,Yes,No,No,1,0.0,White,Not rated,1,India
1321,High On Tea,Gurgaon,"3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon",DLF Phase 1,"Cafe, Tea",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3,India
1322,Sona Bridge Hotel,Gurgaon,"F-9/14, DLF Phase 1, Gurgaon",DLF Phase 1,Chinese,400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,2,India
1323,Yo! Dimsum,Gurgaon,"Shopping Mall, Arjun Marg, DLF Phase 1, Gurgaon",DLF Phase 1,"Fast Food, Chinese",200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1,India
1324,Angrezee Choupal,Gurgaon,"N Block, DLF Phase 2, Gurgaon",DLF Phase 2,"North Indian, Chinese, Italian",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,299,India
1325,Ashoka Snacks Corner,Gurgaon,"Opposite 15 Dakshin Marg, DLF Phase 2, Gurgaon",DLF Phase 2,"Street Food, Chinese, North Indian",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0,India
1326,Chefoncalls,Gurgaon,"N4/19,  N-Block, DLF Phase 2, Gurgaon",DLF Phase 2,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0,India
1327,Corp Kitchen,Gurgaon,"J 10/7, DLF Phase 2, Gurgaon",DLF Phase 2,"North Indian, Chinese, Continental",600,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated,0,India
1328,Good Food,Gurgaon,"DLF Phase 2, Gurgaon",DLF Phase 2,Healthy Food,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0,India
1329,Mahek By Greenz,Gurgaon,"A 201, Belvedere Towers, DLF Phase 2, Gurgaon",DLF Phase 2,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0,India
1330,Pao King,Gurgaon,"K-13/3, DLF Phase 2, Gurgaon",DLF Phase 2,Street Food,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0,India
1331,Prabhat Fast Food Corner,Gurgaon,"Opposite Plot 14, Sector 18, Near DLF Phase 2, Gurgaon",DLF Phase 2,"Chinese, North Indian",200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1,India
1332,Shama Chicken Corner,Gurgaon,"K-7/41A, DLF Phase 2, Gurgaon",DLF Phase 2,Mughlai,300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0,India
1333,Unique Food Hut,Gurgaon,"M 9, DLF Phase 2, Gurgaon",DLF Phase 2,"Fast Food, North Indian, Beverages",600,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated,0,India
1334,A 1 - Snacks and food corner,Gurgaon,"Shop 2, U-73, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese, Fast Food",350,Indian Rupees(Rs.),No,Yes,No,No,1,2.5,Orange,Average,16,India
1335,Anandum,Gurgaon,"S 31/1, Main Road, Near St. Stephen's Hospital, DLF Phase 3, Gurgaon",DLF Phase 3,South Indian,400,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,13,India
1336,Apni Rasoi,Gurgaon,"U 1/52-53, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.0,Orange,Average,160,India
1337,Banke Bihari Bhojanalay,Gurgaon,"U-8/26, DLF Phase 3, Gurgaon",DLF Phase 3,"Mithai, Street Food, North Indian",200,Indian Rupees(Rs.),No,No,No,No,1,2.6,Orange,Average,36,India
1338,Biryani 365,Gurgaon,"U/15/27, DLF Phase 3, Gurgaon",DLF Phase 3,Mughlai,700,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,17,India
1339,Bro's Kitchenette,Gurgaon,"67/53/54, DLF Phase 3, Gurgaon",DLF Phase 3,"Fast Food, Street Food, Beverages",350,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,11,India
1340,Cafe Coffee Day,Gurgaon,"Cyber Green, Nathupur, DLF Phase 3, Gurgaon",DLF Phase 3,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,9,India
1341,Cafe Coffee Day,Gurgaon,"IBP Petrol Pump, Nathupur, DLF Phase 3, Gurgaon",DLF Phase 3,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,26,India
1342,Cafe Du Rendezvous,Gurgaon,"Shop 12 & 13, U-25/31A, Pink Town House Road, Opposite Shemrock School, DLF Phase 3, Gurgaon",DLF Phase 3,"Cafe, Street Food",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,21,India
1343,Cake 24x7,Gurgaon,"S-27/9, Shop  5, DLF Phase 3, Gurgaon",DLF Phase 3,Bakery,600,Indian Rupees(Rs.),No,Yes,Yes,No,2,3.3,Orange,Average,25,India
1344,Cake On Wheels,Gurgaon,"S-27/9, The Village Super Mart, Opposite Pullman Hotel, DLF Phase 3, Gurgaon",DLF Phase 3,"Bakery, Desserts, Fast Food",200,Indian Rupees(Rs.),No,Yes,No,No,1,2.8,Orange,Average,18,India
1345,Cake Point,Gurgaon,"U-1/29, DLF Phase 3, Gurgaon",DLF Phase 3,"Bakery, Desserts",600,Indian Rupees(Rs.),No,Yes,Yes,No,2,2.9,Orange,Average,7,India
1346,Cake Point,Gurgaon,"S-27/9 H, DLF Phase 3, Gurgaon",DLF Phase 3,"Bakery, Desserts",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.0,Orange,Average,35,India
1347,Cakes Degree,Gurgaon,"U 44/31-1, DLF Phase 3, Gurgaon",DLF Phase 3,Bakery,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,18,India
1348,Chateau Garlic,Gurgaon,"DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average,14,India
1349,Chennai Express,Gurgaon,"1st Floor, Near Phase 3 Rapid Metro Station, DLF Phase 3, Gurgaon",DLF Phase 3,"South Indian, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,15,India
1350,Crust N Cakes,Gurgaon,"DLF Phase 3, Gurgaon",DLF Phase 3,Bakery,550,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,18,India
1351,Dabba Meat,Gurgaon,"U Block 1/16, DLF Phase 3, Gurgaon",DLF Phase 3,North Indian,550,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,29,India
1352,Deepak Rasoi,Gurgaon,"U-54/21, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",450,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,22,India
1353,Foodaucity - Bum Bum Bholey Ke Chole Bhature,Gurgaon,"Near Rapid Metro, DLF Phase 3, Gurgaon",DLF Phase 3,Street Food,300,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,14,India
1354,Foodies Nation,Gurgaon,"U-10/25, DLF phase 3, Gurgaon, Haryana-122001, DLF Phase 3, Gurgaon",DLF Phase 3,"Chinese, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,19,India
1355,Goli Vada Pav No. 1,Gurgaon,"Near U Block, Rapid Metro Station, DLF Phase 3, Gurgaon",DLF Phase 3,Street Food,150,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average,83,India
1356,Grandma's Kitchen,Gurgaon,"16/26, U Block, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, South Indian",400,Indian Rupees(Rs.),No,Yes,Yes,No,1,2.5,Orange,Average,20,India
1357,Gurgaon Hights,Gurgaon,"E-04, EWS Complex, Belverde Palace, Main U 16 Road, DLF Phase 3, Gurgaon",DLF Phase 3,North Indian,400,Indian Rupees(Rs.),No,Yes,No,No,1,2.5,Orange,Average,19,India
1358,Idliss,Gurgaon,"U-10/1, DLF Phase 3, Gurgaon",DLF Phase 3,"South Indian, North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,359,India
1359,Indian Home Food,Gurgaon,"U-2/42, Opposite Central Bank ATM, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,51,India
1360,Jetha Lal Ka Dhabha,Gurgaon,"Road 9, U-9/50, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average,53,India
1361,Kusum Rolls,Gurgaon,"U-1/9, DLF Phase 3, Gurgaon",DLF Phase 3,"Fast Food, Chinese",350,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average,71,India
1362,Megha Vaishno Dhaba,Gurgaon,"U-21/1, Road 15, Near Mother Dairy, DLF Phase 3, Gurgaon",DLF Phase 3,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,33,India
1363,Nikhil Food Point,Gurgaon,"U-69/3, DLF Phase 3, Gurgaon",DLF Phase 3,"Chinese, North Indian",200,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,19,India
1364,Plan B,Gurgaon,"Opposite City Court, Near Rapid Metro Station, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese, Continental",1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.4,Orange,Average,132,India
1365,Punjabi Zaika,Gurgaon,"Shop 2, Nathupur Road, Opposite Crossroad Complex, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,74,India
1366,Rasoi,Gurgaon,"Shop 11, Nathupur Road, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average,6,India
1367,Roll's Royce,Gurgaon,"U-9/28, DLF Phase 3, Gurgaon",DLF Phase 3,"Fast Food, North Indian",200,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,42,India
1368,Shree Bikaner Misthan Bhandar,Gurgaon,"U-5/50, Road 16, DLF Phase 3, Gurgaon",DLF Phase 3,"Street Food, Mithai",100,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average,29,India
1369,Smokey Pan,Gurgaon,"Shop U1/48 ,DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Greek, Mughlai",300,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,14,India
1370,Surprise O Meal,Gurgaon,"T-20/18, DLF Phase 3, Gurgaon",DLF Phase 3,"Continental, North Indian, Chinese",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,35,India
1371,Tandoor on The Way,Gurgaon,"U-8/45, Near Rapid Metro Station, DLF Phase 3, Gurgaon",DLF Phase 3,Fast Food,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,45,India
1372,Tawa N Tandoor,Gurgaon,"U-16/10 DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Mughlai, Chinese",600,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average,51,India
1373,The Paradise Biryani,Gurgaon,"Pink Town House Market, DLF Phase 3, Gurgaon",DLF Phase 3,"Biryani, North Indian",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.9,Orange,Average,22,India
1374,The Royal,Gurgaon,"1st Floor, Rapid Metro Station, DLF Phase 3, Gurgaon",DLF Phase 3,"Fast Food, Beverages",550,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,15,India
1375,Theka Desi Khaana,Gurgaon,"Shop U-16/64, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",350,Indian Rupees(Rs.),No,Yes,No,No,1,3.0,Orange,Average,12,India
1376,Tobasco Kitchen,Gurgaon,"U-9/1, DLF Phase 3, Gurgaon",DLF Phase 3,"Fast Food, Pizza",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,38,India
1377,Tpot,Gurgaon,"Rapid Metro Phase 3, DLF Phase 3, Gurgaon",DLF Phase 3,"Fast Food, Beverages",400,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,15,India
1378,Uncle's Cafe,Gurgaon,"75, Behind RBS, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Biryani, Fast Food, Chinese",350,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,23,India
1379,Welcome Cafeteria,Gurgaon,"U-8/36, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,23,India
1380,Yo Yo China Town,Gurgaon,"S 31A/1, Near St. Stephen's Hospital, DLF Phase 3, Gurgaon",DLF Phase 3,"Chinese, North Indian, South Indian",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.8,Orange,Average,31,India
1381,Caterspoint,Gurgaon,"S-27/11, DLF Phase 3, Gurgaon",DLF Phase 3,"Mexican, American, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.9,Dark Green,Excellent,223,India
1382,Bake-a-boo,Gurgaon,"U 55, DLF Phase 3, Gurgaon",DLF Phase 3,Bakery,200,Indian Rupees(Rs.),No,Yes,No,No,1,3.7,Yellow,Good,55,India
1383,Burger Hut,Gurgaon,"U-6/50, Near Yashwant Department Store, DLF Phase 3, Gurgaon",DLF Phase 3,"Burger, Fast Food, Chinese",300,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good,319,India
1384,China Gatherings,Gurgaon,"U-75/52, Near RBS Building, DLF Phase 3, Gurgaon",DLF Phase 3,"Chinese, Thai",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,46,India
1385,Crazy Bhukkhad,Gurgaon,"U-80, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.9,Yellow,Good,54,India
1386,Deez Biryani & Kebabs,Gurgaon,"S-27/17, Nathupura, DLF Phase 3, Gurgaon",DLF Phase 3,"Biryani, North Indian, Mughlai",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,371,India
1387,Fomads,Gurgaon,"U-25/27, Ground Floor, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,26,India
1388,Happy Beings,Gurgaon,"50/21, U Block, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,66,India
1389,InstaDozza,Gurgaon,"Inside DLF Phase 3 Rapid Metro Station, DLF Phase 3, Gurgaon",DLF Phase 3,South Indian,250,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,28,India
1390,Mom's Kitchen,Gurgaon,"U-9/26, DLF Phase 3, Gurgaon",DLF Phase 3,North Indian,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,27,India
1391,The Baker's Bar  ... Bakery & Cafe,Gurgaon,"16/8, U Block, DLF Phase 3, Gurgaon",DLF Phase 3,"Italian, Lebanese, Fast Food, Bakery",400,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,29,India
1392,Veg Ex,Gurgaon,"DLF Phase 3, Gurgaon",DLF Phase 3,North Indian,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,45,India
1393,Volt - By Plan B,Gurgaon,"Moulsari Road, Near Moulsari Arcade, DLF Phase 3, Gurgaon",DLF Phase 3,"Mediterranean, Mughlai, Thai, North Indian, Chinese",1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.5,Yellow,Good,19,India
1394,ZASTY,Gurgaon,"DLF Phase 3, Gurgaon",DLF Phase 3,"Continental, North Indian, Asian",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,52,India
1395,Aahar,Gurgaon,"U-6/50, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, South Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.0,Red,Poor,60,India
1396,Chicken Bytes,Gurgaon,"Shop 4, U-6/50, DLF Phase 3, Gurgaon",DLF Phase 3,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.1,Red,Poor,34,India
1397,Flying Cakes,Gurgaon,"Shop 3, U-6/50, DLF Phase 3, Gurgaon",DLF Phase 3,Bakery,350,Indian Rupees(Rs.),No,Yes,No,No,1,2.2,Red,Poor,136,India
1398,Punjabi Tadka,Gurgaon,"U-16/24, DLF Phase 3, Gurgaon",DLF Phase 3,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,2.2,Red,Poor,43,India
1399,Coldpress Company,Gurgaon,"U79/12 DLF Phase 3, Gurgaon",DLF Phase 3,"Healthy Food, Juices, Salad, Italian, Continental",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.0,Green,Very Good,34,India
1400,Crudo Juicery,Gurgaon,"DLF Phase 3, Gurgaon",DLF Phase 3,"Beverages, Salad, Beverages",400,Indian Rupees(Rs.),No,Yes,No,No,1,4.3,Green,Very Good,33,India
1401,First Eat,Gurgaon,"DLF Phase 3, Gurgaon",DLF Phase 3,"Healthy Food, North Indian, Continental",300,Indian Rupees(Rs.),No,No,No,No,1,4.0,Green,Very Good,162,India
1402,Zoe,Gurgaon,"T-24, Cyber Green, DLF Phase 3, Gurgaon",DLF Phase 3,"Juices, Beverages, Healthy Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,4.3,Green,Very Good,217,India
1403,Dabba Meat,Gurgaon,"Opposite Hamilton Court, Galleria Road, DLF Phase 4, Gurgaon",DLF Phase 4,North Indian,550,Indian Rupees(Rs.),No,Yes,Yes,No,2,3.1,Orange,Average,195,India
1404,Kashmiri Kitchen,Gurgaon,"Near IFFCO Chowk Metro Station, Opposite Metro Pillar 141, DLF Phase 4, Gurgaon",DLF Phase 4,Kashmiri,1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,210,India
1405,Rumi's Kitchen,Gurgaon,"DLF Phase 4, Gurgaon",DLF Phase 4,"Biryani, Lucknowi, North Indian",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,165,India
1406,Baking Bad,Gurgaon,"DLF Phase 4, Gurgaon",DLF Phase 4,"Italian, Pizza",1000,Indian Rupees(Rs.),No,Yes,No,No,3,3.7,Yellow,Good,98,India
1407,Bamboo Boat,Gurgaon,"Behind Supermart 2, DLF Phase 4, Gurgaon",DLF Phase 4,"Japanese, Tibetan, Vietnamese, Korean",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,115,India
1408,Big Jack's,Gurgaon,"DLF Phase 4, Gurgaon",DLF Phase 4,"Continental, Burger, American",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,129,India
1409,Kebab Gali,Gurgaon,"A 226 & 227, Ground Floor, Super Mart 1, DLF Phase 4, Gurgaon",DLF Phase 4,"North Indian, Mughlai, Biryani",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,164,India
1410,Lucknow Mail,Gurgaon,"Shop 4, Plot 1126, DLF Phase 4, Gurgaon",DLF Phase 4,"Awadhi, North Indian, Mughlai",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,86,India
1411,Monster's Cafe,Gurgaon,"Opposite DLF Galleria Market, DLF Phase 4, Gurgaon",DLF Phase 4,"Continental, North Indian, Chinese",1200,Indian Rupees(Rs.),No,Yes,Yes,No,3,3.5,Yellow,Good,269,India
